target,predicted
si'a ʔaj masa'ja na 'paɾaŋ 'haɾiʔ,si'a ʔaj masa'ja na 'paɾaŋ 'haɾiʔ
pu'punta ʔa'ko sa 't͡ʃina sa ˌsusu'nod na liŋ'ɡo,pu'punta ʔa'ko sa 't͡ʃina sa ˌsusu'nod na liŋ'ɡo
maj 'ɾadjo 'ŋaʔ ʔa'ko sa 'bahaj 'peɾo 'ʔajaw ɡu'mana,maj 'ɾadjo 'ŋa ʔa'ko sa 'bahaj 'peɾo 'ʔajaw ɡu'mana
sa'bihin mo sa kan'ja kuŋ sa'ʔan si'a 'dapat pumun'ta,sa'bihin mo sa kan'ja kuŋ sa'ʔan si'a 'dapat pumun'ta
ba'halaʔ na si'a,ba'halaʔ na si'a
kinaɡaɡa'lak 'kitaŋ maki'lala,kinaɡa'ɡalak ki'taŋ maki'lala
ɡinaɡa'waʔ ni 'meɾi ʔaŋ ma'ŋa ini'uutos sa kan'ja,ɡinaɡa'waʔ ni 'meɾi ʔaŋ ma'ŋa ʔiniʔu'ʔutos sa kan'ja
pa'ʔano ʔa'ko makakapun'ta sa ʔestas'jon naŋ pu'lis,pa'ʔano ʔa'ko makakapun'ta sa ʔestas'jon naŋ pu'lis
pinu'noʔ ni'a ʔaŋ 'baso naŋ 'ʔalak,pinu'noʔ ni'a ʔaŋ 'baso naŋ 'ʔalak
'kahit ʔi'saŋ sali'taj hin'diʔ luma'bas sa ka'njaŋ bi'biɡ,'kahit ʔi'saŋ sali'taj hin'diʔ luma'bas sa ka'njaŋ bi'biɡ
maj ma'ŋa 'ʔisla sa 'daɡat,maj ma'ŋa 'ʔisla sa 'daɡat
'sino ka ʔat sa'ʔan ka 'ɡaliŋ,'sino ka ʔat sa'ʔan ka 'ɡaliŋ
paki'sabi sa 'ʔakin kuŋ kaʔi'lan pu'punta,paki'sabi sa 'ʔakin kuŋ kaʔi'lan pu'punta
na'kita mo ba ʔa'noŋ ɡina'waʔ ni'la sa 'pabo,na'kita mo ba ʔa'noŋ ɡina'waʔ ni'la sa 'paboʔ
ʔumu'lan naŋ tat'loŋ 'beses sa bi'ahe,ʔumu'lan naŋ tat'loŋ 'beses sa bi'ahe
ʔi'lan ʔaŋ ma'ŋa 'kulaj,ʔi'lan ʔaŋ ma'ŋa 'kulaj
pahi'ŋiʔ naŋ 'tubiɡ,pahi'ŋiʔ naŋ 'tubiɡ
kuŋ maj 'ʔoɾas ʔa'ko bibisita'hin ki'ta naŋ kajsa'ja,kuŋ maj 'ʔoɾas ʔa'ko bibisi'tahin ki'ta naŋ kaj'saja
hali'kan mo ʔa'ko 'tom,hali'kan mo ʔa'ko 'tom
dalawam'puŋ ta'ʔon na si mjuɾ'jel,dalawam'puŋ ta'ʔon na si mu'iɾjel
nawa'lan naŋ 'malaj si tom,nawa'lan naŋ 'malaj si 'tom
pa'ki laka'san,pa'ki la'kasan
ʔaŋ 'laŋit ʔaj pu'noʔ naŋ maʔiʔi'tim na 'ʔulap,ʔaŋ 'laŋit ʔaj pu'noʔ naŋ maʔiʔi'tim na 'ʔulap
kaʔi'biɡan ko ʔi'to,kaʔi'biɡan ko ʔi'to
na'kita ʔaŋ ba'poɾ,na'kita ʔaŋ ba'poɾ
naka'huliʔ ʔa'ko naŋ tat'loŋ ʔis'daʔ ka'hapon,naka'huli ʔa'ko naŋ tat'loŋ ʔis'daʔ ka'hapon
mala'pit na ʔaŋ taɡla'ɡas,ma'lapit na ʔaŋ taɡla'ɡas
ku'maʔin si'a naŋ ti'napaj na maj manti'kilja,ku'maʔin si'a naŋ ti'napaj na maj manti'kilja
maɡ'kano ʔaŋ ʔi'saŋ 'bote naŋ ka'tas naŋ 'buko,maɡ'kano ʔaŋ ʔi'saŋ 'bote naŋ ka'tas naŋ 'buko
namu'lok na ʔi'toŋ 'saɡiŋ,namu'lok na i'toŋ 'saɡiŋ
ʔaŋ 'bataŋ maɡna'nakaw ʔaj hin'diʔ na'kita mu'liʔ naŋ ma'ŋa pu'lis,ʔaŋ 'bataŋ maɡna'nakaw ʔaj hin'diʔ na'kita mu'liʔ naŋ ma'ŋa pu'lis
ʔa'ko sa ʔin'jo manana'himik ʔa'ko,ʔa'ko sa ʔin'jo manana'himik ʔa'ko
diʔ ko ki'ta ʔaŋ kaʔiba'han,diʔ ko ki'ta ʔaŋ kaʔiba'han
hin'diʔ ni'a kaʔi'laŋan pu'masok sa baɡ'jo,hin'diʔ ni'a kaʔi'laŋan pu'masok sa baɡ'jo
tala'ɡaŋ diʔ si'a papaɾi'ni,tala'ɡaŋ diʔ si'a papaɾi'ni
ma'lajoʔ pa,ma'lajoʔ pa
kaʔi'laŋan kuŋ ɡami'tin ʔaŋ 'dikʃoneɾi,kaʔi'laŋan kuŋ ɡami'tin ʔaŋ 'dikʃoneɾi
ɡuma'ɡana na'man naŋ ma'ʔajos ʔaŋ ɾe'lo ko,ɡuma'ɡana na'man naŋ ma'ʔajos ʔaŋ ɾe'lo ko
pa'sensja na 'tom,pa'sensja na 'tom
maɡsa'jaw ba 'tajo,maɡsa'jaw ba 'tajo
maj ma'ɾamiŋ maɡaɡan'daŋ ba'baʔe sa ʃaŋ'haj kaj'sa sa 'tokjo,maj ma'ɾamiŋ maɡaɡan'daŋ ba'baʔe sa ʃaŋ'haj kaj'sa sa 'tokjo
pabo'ɾito 'koŋ kan'ta ʔi'on,pabo'ɾito 'koŋ kan'ta ʔi'on
hin'diʔ ko ʔa'lam kuŋ kaʔi'lan ʔuʔu'iʔ si 'tom,hin'diʔ ko ʔa'lam kuŋ kaʔi'lan ʔuʔu'iʔ si 'tom
ti'ŋin ko daɾa'tiŋ si'a,ti'ŋin ko daɾa'tiŋ si'a
binili'san ko ʔumu'iʔ,bini'lisan ko ʔumu'iʔ
paɡu'pit ka na naŋ bu'hok,paɡu'pit ka na naŋ bu'hok
ʔa'noŋ pinakala'kas na paŋu'ŋusap sa daʔiɡ'diɡ,ʔa'noŋ pinaka'lakas na paŋu'ŋusap sa daʔiɡ'diɡ
ku'muhaʔ ʔa'ko naŋ 'taksi 'kasi ʔumuʔu'lan,ku'muhaʔ ʔa'ko naŋ 'taksi 'kasi ʔumuʔu'lan
hina'hanap ko ʔaŋ 'ʔakiŋ 'bolpen,hina'hanap ko ʔaŋ 'ʔakiŋ 'bolpen
diʔ ko ɡina'waʔ 'paɾa sa ʔi'o,diʔ ko ɡina'waʔ 'paɾa sa ʔi'o
hu'laʔan mo 'laŋ,hula'ʔan mo 'laŋ
si'sikat mu'liʔ ʔaŋ 'ʔaɾaw sa mada'liŋ pana'hon,si'sikat mu'liʔ ʔaŋ 'ʔaɾaw sa mada'liŋ pana'hon
ikinub'li ni'a ʔaŋ ka'jaŋ 'paŋit na muk'haʔ,ʔikinub'li ni'a ʔaŋ ka'njaŋ 'paŋit na muk'haʔ
ma'habaʔ ba ʔo maʔik'liʔ ʔaŋ da'ʔan,ma'habaʔ ba ʔo maʔik'liʔ ʔaŋ da'ʔan
maɡpa'kuhaʔ 'tajo naŋ lit'ɾato,maɡpa'kuha 'tajo naŋ lit'ɾato
diʔ 'ʔakin ʔi'toŋ ɾe'lo kun'diʔ ʔi'o,diʔ 'ʔakin i'toŋ ɾe'lo kun'diʔ ʔi'o
pa'taj,pa'taj
nilutu'ʔan 'nja 'juŋ ʔa'sawa 'nja naŋ 'ʔapəl 'paj,nilutu'ʔan 'nja 'juŋ ʔa'sawa 'nja naŋ 'ʔapəl 'paj
humi'hilik si 'tom,humihi'lik si 'tom
ʔa'jusin mo 'to,ʔa'jusin mo 'to
maɡbabaka'sjon ʔa'ko sa ʔaws'tɾalja,maɡbabaka'ʃon ʔa'ko sa ʔaws'tɾalja
pakiba'baʔ naŋ 'ɾadjo,pakiba'baʔ naŋ 'ɾadjo
napaɾi'niɡ ko 'ɾin ʔaŋ kaha'wiɡ na ku'ento,napaɾi'niɡ ko 'ɾin ʔaŋ kaha'wiɡ na ku'ento
'nasa ʔa'liŋ baʔi'taŋ ʔaŋ ʔi'joŋ kapa'tid na ba'baʔe,'nasa 'ʔaliŋ baʔi'taŋ ʔaŋ ʔi'joŋ kapa'tid na ba'baʔe
li'ŋon ka 'dito,li'ŋon ka 'dito
ʔi'sa 'paŋ diɡ'maʔan ʔat masi'siɾaʔ na 'tajo,ʔi'sa 'paŋ diɡ'maʔan ʔat masi'siɾaʔ na 'tajo
ʔa'no ba ʔaŋ wabi'sabi,ʔa'no ba ʔaŋ ˌwabi'sabi
maɡhin'taj 'laŋ 'poʔ ka'jo sanda'liʔ,maɡhin'taj 'laŋ 'poʔ ka'jo sanda'liʔ
'lapis ko 'lapis,'lapis ko ʔi'to
tuɾu'an mo ʔa'koŋ ma'ɡiŋ ˌbukas'palad,tuɾu'ʔan mo ʔa'koŋ ma'ɡiŋ 'bukas'palad
naɡʔiʔi'sa ʔa'ko sa da'juhaŋ ban'saʔ,naɡʔi'ʔisa ʔa'ko sa da'juhaŋ ban'saʔ
nawa'laʔ ko ʔaŋ ɾe'lo ko,nawa'laʔ ko ʔaŋ ɾe'lo ko
maɡ'kano ʔi'on,maɡ'kano ʔi'on
ʔa'noŋ kina'laman ni'to kaj 'tom,ʔa'noŋ kina'laman ni'to kaj 'tom
naba'saʔ si'a sa baj'waŋ haŋ'ɡaŋ 'tuhod,na'basa si'a sa 'bewaŋ haŋ'ɡaŋ 'tuhod
ni'toŋ ʔu'maɡa la'maŋ binaja'ɾan ni 'tom ʔaŋ 'ʔutaŋ ni'a kaj 'meɾi,ni'toŋ ʔu'maɡa 'lamaŋ bina'jaɾan ni 'tom ʔaŋ 'ʔutaŋ ni'a kaj 'meɾi
pakiʔu'sod 'ŋaʔ do'ʔon naŋ kaʔun'tiʔ,paki'ʔusod 'ŋaʔ do'ʔon naŋ kaʔun'tiʔ
ɡus'to ni'la ʔaŋ 'wikaŋ ʔiŋ'ɡles,ɡus'to ni'la ʔaŋ 'wikaŋ ʔiŋ'ɡles
no'ʔoŋ 'paŋ maɾ'tes na ʔumuʔu'lan,no'ʔoŋ 'paŋ maɾ'tes na ʔumuʔu'lan
ʔaŋ la'ɾawan ʔaj kahala'ɡa naŋ 'liboŋ sali'taʔ,ʔaŋ la'ɾawan ʔaj kahala'ɡa naŋ 'liboŋ sali'taʔ
naki'ta ko si 'tom do'ʔon,na'kita ko si 'tom do'ʔon
maʔa'ʔaɾiʔ mo 'baŋ ʔila'ɡaj ʔaŋ ma'ŋa ba'ɡahe sa 'kot͡ʃe,maʔa'ʔaɾiʔ mo 'baŋ ʔila'ɡaj ʔaŋ ma'ŋa ba'ɡahe sa 'kot͡ʃe
'djeli naŋ 'ʔubas ʔaŋ pinakaɡus'to ko,'djeli naŋ 'ʔubas ʔaŋ pinakaɡus'to ko
ʔa'lin 'dito ʔaŋ ɡi'taɾa mo,ʔa'lin 'dito ʔaŋ ɡi'taɾa mo
'ʔakin ʔaŋ ma'ŋa lib'ɾoŋ ʔi'to ʔaŋ ma'ŋa ʔi'on na'man ʔaj sa kani'a,'ʔakin ʔaŋ ma'ŋa lib'ɾoŋ ʔi'to ʔaŋ ma'ŋa ʔi'on na'man ʔaj sa kani'a
ˌbabaɡ'sak babaɡ'sak ka'jaʔ si'a paɡsu'sulit,ˌbabaɡ'sak ka'jaʔ si'a sa paɡsu'sulit
'sino ʔaŋ pu'miliʔ naŋ 'ʔalak na ʔi'to,'sino ʔaŋ pu'miliʔ naŋ 'ʔalak na ʔi'to
maj ʔak'lat ba sa ʔi'babaw naŋ 'mesa,maj ʔak'lat ba sa ʔi'babaw naŋ 'mesa
hin'diʔ pa ʔumuʔu'lan ŋa'joŋ bu'an na ʔi'to,hin'diʔ pa ʔumu'ʔulan ŋa'joŋ bu'an na ʔi'to
hin'diʔ kapanipani'walaʔ,hin'diʔ kapanipani'walaʔ
ʔu'haw pa 'ɾin ʔa'ko,ʔu'haw pa 'ɾin ʔa'ko
ʔa'no ʔi'oŋ ɡus'to moŋ ɡa'win,ʔa'no ʔi'joŋ ɡus'to moŋ ɡa'win
paʔuman'hin siniɡa'wan ki'ta,paʔuman'hin siniɡa'wan ki'ta
'kahit ɡa'ʔanoŋ maɡa'liŋ ka pa'laɡiŋ maj 'taʔoŋ hi'ɡit na maɡa'liŋ kaj'sa sa ʔi'o,'kahit ɡa'ʔanoŋ maɡa'liŋ ka pa'laɡiŋ maj 'taʔoŋ hi'ɡit na maɡa'liŋ kaj'sa sa ʔi'o
'mas ba'ɾako kaj'sa ja'ʔoŋ kaj hu'an ʔaŋ ka'pe ko,'mas ba'ɾako kaj'sa ja'ʔoŋ kaj hu'an ʔaŋ ka'pe ko
humi'ɡaʔ si'a naŋ ɡa'nap na paha'baʔ sa da'mo,humi'ɡaʔ si'a naŋ ɡa'nap na pa'habaʔ sa da'mo
sa'ʔan ʔaŋ si'lidkaʔi'nan,sa'ʔan ʔaŋ siˌlidkaʔi'nan
sinu'bukan 'koŋ maɡsu'lat 'ɡamit ʔaŋ kali'waŋ ka'maj,sinu'bukan 'koŋ maɡsu'lat 'ɡamit ʔaŋ kali'waŋ ka'maj
pa'ʔano ʔaŋ ʔopi'sina,pa'ʔano ʔaŋ ʔopi'sina
minaɾ'tiljo ni'a ʔaŋ ma'ŋa pa'koʔ sa 'tabla,minaɾ'tiljo ni'a ʔaŋ ma'ŋa pa'koʔ sa 'tabla
tinu'joʔ ni'a ʔaŋ kan'jaŋ muk'haʔ sa tu'alja,tinu'joʔ ni'a ʔaŋ ka'njaŋ muk'haʔ sa tu'alja
ma'ɾamiŋ kaba'taʔaŋ la'laki ʔaŋ kinaʔi'laŋaŋ ʔumu'iʔ naŋ ma'ʔaɡa mu'la sa ˌpaʔaɾa'lan ka'hapon,ma'ɾamiŋ kaba'taʔaŋ la'laki ʔaŋ kinaʔi'laŋaŋ ʔumu'iʔ naŋ ma'ʔaɡa mu'la sa ˌpaʔaɾa'lan ka'hapon
tumata'lon ʔaŋ ka'bajo,tumata'lon ʔaŋ ka'bajo
'mas maɡa'liŋ 'ʃaŋ 'swimeɾ kaj'sa sa 'ʔakin,'mas maɡa'liŋ ʃaŋ 'swimeɾ kaj'sa sa 'ʔakin
ma'ɡiɡiŋ masa'ɡanaʔ ʔaŋ ta'ʔoŋ ʔi'to,ma'ɡiɡiŋ masa'ɡana ʔaŋ 'taʔoŋ ʔi'to
ba'saʔ ʔaŋ tu'alja,ba'saʔ ʔaŋ tu'alja
'bakit pa ma'buhaj ka'paɡ mamama'taj 'man 'din 'laŋ 'tajo,'bakit pa ma'buhaj ka'paɡ mamama'taj 'man 'din 'laŋ 'tajo
sa'ʔan ʔaŋ mala'pit na te'lepono,sa'ʔan ʔaŋ ma'lapit na te'lepono
maj da'kilaŋ 'laban naŋ ɾelihi'on ʔat ʔaɡ'ham,maj da'kilaŋ 'laban naŋ ɾelihi'on ʔat ʔaɡ'ham
ʔina'ɾesto si 'tom ʔu'maɡa naŋ 'lunes,ʔina'ɾesto si 'tom ʔu'maɡa naŋ 'lunes
ʔa'ko ʔaj ʔi'saŋ pili'pino,ʔa'ko ʔaj ʔi'saŋ pili'pino
ʔa'ko ʔaŋ ʔi'joŋ kam'bal,ʔa'ko ʔaŋ ʔi'joŋ kam'bal
'naʔis 'koŋ maɡbi'ɡaj naŋ hin'diʔ naɡʔaʔan'taj naŋ kapa'lit,'naʔis 'koŋ maɡbi'ɡaj naŋ hin'diʔ naɡʔan'taj naŋ kapa'lit
kamun'tik ko naŋ nali'mutan ʔaŋ 'pajoŋ ko sa 'tɾen,kamun'tik ko naŋ nali'mutan ʔaŋ 'pajoŋ ko sa 'tɾen
suman'dal si'a sa 'ʔakin,suman'dal si'a sa 'ʔakin
dinedesiɡ'nejt naŋ ma'ŋa 'linjaŋ ʔa'sul sa 'mapa ʔaŋ ma'ŋa 'ʔiloɡ,dinedesiɡ'nejt naŋ ma'ŋa 'linjaŋ ʔa'sul sa 'mapa ʔaŋ ma'ŋa 'ʔiloɡ
maɡa'liŋ ŋa'jon ʔat ni mas'jadoŋ mabi'ɡat ni mas'jadoŋ maɡa'ʔan,maɡa'liŋ ŋa'jon ʔat ni mas'jadoŋ mabi'ɡat ni mas'jadoŋ maɡa'ʔan
masasaɾa'pan ka naŋ naɡba'basa,masasaɾa'pan ka naŋ naɡba'basa
hin'diʔ ka tumiti'ŋin,hin'diʔ ka tumiti'ŋin
mala'miɡ ʔat sa'ɾiwaʔ ʔaŋ 'haŋin,mala'miɡ ʔat sa'ɾiwaʔ ʔaŋ 'haŋin
ʔaŋ ʔabu'kadoy 'buŋa naŋ 'punoŋ ʔabu'kado,ʔaŋ ʔabu'kadoj 'buŋa naŋ 'punoŋ ʔabu'kado
maɡʔumpi'sa ŋa'jon,maɡumpi'sa ŋa'jon
ɡaɡa'win ko ʔaŋ 'kahit ʔa'no ma'liban ʔi'on,ɡaɡa'win ko ʔaŋ 'kahit ʔa'no ma'liban ʔi'on
'sana naɡhin'taj ka'jo,'sana naɡhin'taj ka'jo
ʔa'noŋ ɡina'ɡawaʔ ni'a ʔaj ʔipinaɡba'bawal,ʔa'noŋ ɡinaɡa'waʔ ni'a ʔaj ʔipinaɡba'bawal
naɡsasali'taʔ ka ba naŋ pɾan'ses 'ʔaɾaw'ʔaɾaw,naɡsasali'taʔ ka ba naŋ pɾan'ses 'ʔaɾaw'ʔaɾaw
sa'waʔ na ʔa'ko sa ma'ŋa mu'seo li'biŋan naŋ ma'ŋa 'siniŋ,sa'waʔ na ʔa'ko sa ma'ŋa mu'seo li'biŋan naŋ ma'ŋa 'siniŋ
paʔa'lis na 'sana ʔa'ko naŋ 'bahaj naŋ tumu'noɡ ʔaŋ te'lepono,paʔa'lis na 'sana ʔa'ko naŋ 'bahaj naŋ tumu'noɡ ʔaŋ te'lepono
pinaʔala'la ni'aŋ hu'aɡ ni'aŋ ɡa'win,pinaʔa'lala ni'jaŋ hu'aɡ ni'jaŋ ɡa'win
maɡan'da ʔaŋ pana'hon ka'hapon,maɡan'da ʔaŋ pana'hon ka'hapon
maj na'kita ka'miŋ ʔi'saŋ pa'ɡoŋ pa'ɡoŋ haɾ'din,maj na'kita ka'miŋ ʔi'saŋ pa'ɡoŋ sa haɾ'din
ʔi'kaw ʔaj ʔi'saŋ ma'husaj na kusi'neɾo,ʔi'kaw ʔaj ʔi'saŋ ma'husaj na kusi'neɾo
ʔat nabiɡ'jan ka'mi naŋ 'libɾeŋ 'pitsa,ʔat nabiɡ'jan ka'mi naŋ 'libɾeŋ 'pitsa
no'ʔoŋ 'ʔunaŋ pana'hon maj da'kilaŋ 'haɾiʔ sa ban'saŋ ʔi'on,no'ʔoŋ 'ʔunaŋ pana'hon maj da'kilaŋ 'haɾiʔ sa ban'saŋ ʔi'on
hin'diʔ ko ʔini'ʔisip na maj tumi'ɾa sa 'bahaj na ʔi'to naŋ ma'habaŋ ta'ʔon,hin'diʔ ko ʔini'ʔisip na maj tu'miɾa sa 'bahaj na ʔi'to naŋ maha'baŋ ta'ʔon
maha'habaʔ ʔaŋ bin'tiʔ naŋ kapa'tid 'koŋ ba'baʔe,maha'habaʔ ʔaŋ bin'tiʔ naŋ kapa'tid 'koŋ ba'baʔe
ʔi'laŋ maŋ'kok naŋ 'kanin ʔaŋ ki'naʔin mo,ʔi'laŋ maŋ'kok naŋ 'kanin ʔaŋ ki'naʔin mo
biɡ'jan mo ʔa'ko naŋ ʔi'sa 'paŋ paɡkaˌkata'ʔon,biɡ'jan mo ʔa'ko naŋ ʔi'sa 'paŋ paɡkaˌkata'ʔon
haŋ'ɡaŋ maj kat'wiɾan ʔo ʔebi'densia hin'diʔ 'natin ʔa'lam kuŋ toto'ʔo ʔaŋ sina'sabi ni'a,haŋ'ɡaŋ maj kat'wiɾan ʔo ʔebi'densia hin'diʔ 'natin ʔa'lam kuŋ toto'ʔo ʔaŋ sina'sabi ni'a
ʔa'koj ʔi'saŋ taɡaluŋ'sod,ʔa'koj ʔi'saŋ taɡaluŋ'sod
ʔinimbita'han ni'la ʔa'koŋ maɡla'ɾoʔ naŋ ba'ɾaha,ʔinimbita'han ni'la ʔa'koŋ maɡla'ɾoʔ naŋ ba'ɾaha
maɡ'saʔiŋ ka,maɡsa'ʔiŋ ka
ʔaŋ ma'ŋa ʔa'nak ʔaj kaja'manan naŋ mahihi'ɾap,ʔaŋ ma'ŋa ʔa'nak ʔaj kaja'manan naŋ mahi'hiɾap
'loŋ ol'ɡeta 'wiken 'tom i 'save 'ɡo 'loŋ 'haus bi'loŋ 'mama na 'papa bi'loŋ ʔem,'loŋ ʔol'ɡeta 'wajken 'tom ʔaj 'sev 'ɡo 'loŋ 'haws bi'loŋ 'mama na pa'pa bi'loŋ 'em
tala'ɡaŋ masiɡ'la,tala'ɡaŋ masiɡ'la
ɡus'to mo naŋ i'baŋ 'baɡoŋ kata'wan,ɡus'to mo naŋ ʔi'baŋ 'baɡoŋ kata'wan
diʔ 'natin tala'ɡaŋ mahuhula'ʔan ʔaŋ ʔanu'man,diʔ 'natin tala'ɡaŋ mahuhu'laʔan ʔaŋ ʔanu'man
maɡan'da ka,maɡan'da ka
'ʔajaw ko naŋ pini'ɾitoŋ ʔis'daʔ,'ʔajaw ko naŋ pini'ɾitoŋ ʔis'daʔ
mawawa'laʔ ʔaŋ sa'kit naŋ 'ʔulo mo sa ɡa'mot,mawa'walaʔ ʔaŋ sa'kit naŋ 'ʔulo mo sa ɡa'mot
'ʔisip 'koj naʔiʔintindi'han ko,'ʔisip koj naʔiʔintindi'han ko
ma'hal ni'a ʔaŋ si'ensiaŋ piksi'on,ma'hal ni'a ʔaŋ si'ensiaŋ pik'ʃon
pakibi'ɡaj ʔi'an sa 'ʔakin,pakibi'ɡaj ʔi'an sa 'ʔakin
buma'lik ka,buma'lik ka
ʔibi'ɡaj mo ʔaŋ ma'ŋa ʔi'an sa kan'jaʔ,ʔibi'ɡaj mo ʔaŋ ma'ŋa ʔi'an sa kan'ja
kinaʔi'laŋan 'koŋ ʔala'ɡaʔan ʔaŋ kan'jaŋ saŋ'ɡol,kinaʔi'laŋan 'koŋ ʔala'ɡaʔan ʔaŋ ka'njaŋ saŋ'ɡol
'dahil ʔi'kaw ʔaj naɡsi'sisi patata'waɾin ki'ta,'dahil ʔi'kaw ʔaj naɡsi'sisi patatawa'ɾin ki'ta
'kulaŋ ʔaŋ taŋ'kad ni'a 'ʔupaŋ maʔa'bot ʔaŋ 'kisame,'kulaŋ ʔaŋ taŋ'kad ni'a 'ʔupaŋ maʔa'bot ʔaŋ 'kisame
'tamaʔ na ʔa'ko bu'soɡ na ʔa'ko,'tamaʔ na ʔa'ko bu'soɡ na ʔa'ko
suma'kit ʔaŋ 'ʔulo ni'a,suma'kit ʔaŋ 'ʔulo ni'a
'mas pipili'ʔin ko ʔaŋ pamamas'jal kaj'sa sa panono'ʔod naŋ pala'bas,'mas pipi'liʔin ko ʔaŋ pamama'sjal kaj'sa sa panono'ʔod naŋ pala'bas
ma'ɡiŋ 'laɡiŋ han'daʔ,ma'ɡiŋ 'laɡiŋ han'daʔ
hin'diʔ tata'ɡal ʔaŋ 'mitiŋ,hin'diʔ tata'ɡal ʔaŋ 'mitiŋ
humin'taj ka'mi naŋ maha'baŋ 'ʔoɾas 'ŋunit si'a ʔaj hin'diʔ sumi'pot,humin'taj ka'mi naŋ maha'baŋ 'ʔoɾas 'ŋunit si'a ʔaj hin'diʔ su'mipot
ʔa'koj maj ma'ɾamiŋ kaʔi'biɡan,ʔa'koj maj ma'ɾamiŋ kaʔi'biɡan
pa'laɡiʔ 'baŋ nana'nalo si 'tom,pa'laɡiʔ 'baŋ nana'nalo si 'tom
nawa'laʔ si 'tom,nawa'laʔ si 'tom
ta'pos ko naŋ ɡa'win ʔaŋ la'hat naŋ 'ʔakiŋ takˌdaŋʔa'ɾalin ʔat 'naʔis 'koŋ maɡpahi'ŋa naŋ saɡ'lit,ta'pos ko naŋ ɡa'win ʔaŋ la'hat naŋ 'ʔakiŋ tak'daŋʔa'ɾalin ʔat 'naʔis 'koŋ maɡpahi'ŋa naŋ saɡ'lit
wa'laŋ 'ʔulap ŋa'joŋ 'ʔaɾaw,wa'laŋ 'ʔulap ŋa'joŋ 'ʔaɾaw
ʔa'noŋ binu'loŋ ni'a sa ʔi'o,ʔa'noŋ binu'loŋ ni'a sa ʔi'o
nakipaɡkaʔi'biɡan ʔa'ko sa ʔi'saŋ ʔestud'janteŋ ban'jaɡaʔ,nakipaɡkaʔi'biɡan ʔa'ko sa ʔi'saŋ ʔestud'janteŋ ban'jaɡaʔ
hi'liɡ ko ʔaŋ paŋoŋolek'ta naŋ ma'ŋa 'lumaŋ laɾu'ʔan,hi'liɡ ko ʔaŋ paŋoŋo'lekta naŋ ma'ŋa 'lumaŋ laɾu'ʔan
kaʔi'laŋan ni'aŋ tumak'bo naŋ napakabi'lis,kaʔi'laŋan ni'jaŋ tumak'bo naŋ napakabi'lis
ʔimpo'sibleŋ ɡa'win 'koŋ ɡano'ʔon,ʔimpo'sibleŋ ɡa'win 'koŋ ɡano'ʔon
'ʔisip 'koj maɡʔaʔab'ɾod ʔa'ko,'ʔisip koj maɡʔaʔa'bɾod ʔa'ko
ma'ɾunoŋ si 'tom maɡʔuku'lele,ma'ɾunoŋ si 'tom maɡʔuku'lele
ʔaŋ ʔi'baŋ sansinu'kob ʔaj ma'ɾahil 'pawaŋ ʔi'baŋ katu'najan,ʔaŋ ʔi'baŋ sansinu'kob ʔaj ma'ɾahil 'pawaŋ ʔi'baŋ katu'najan
sa'ʔan ʔaŋ bili'han,sa'ʔan ʔaŋ bili'han
hin'diʔ ko maʔisasa'ɡot ʔaŋ ma'ŋa ta'noŋ mo,hin'diʔ ko maʔisasa'ɡot ʔaŋ ma'ŋa ta'noŋ mo
ʔa'ko ʔaŋ tu'mawaɡ sa kan'ja ka'hapon,ʔa'ko ʔaŋ tu'mawaɡ sa kan'ja ka'hapon
pu'lutin mo ʔaŋ 'lapis sa sa'hiɡ,pulu'tin mo ʔaŋ 'lapis sa sa'hiɡ
ʔuʔu'poʔ ka 'lamaŋ 'dito,ʔuʔu'poʔ ka 'lamaŋ 'dito
ʔa'noŋ 'ʔoɾas na,ʔa'noŋ 'ʔoɾas na
maj 'posas sa 'kama,maj 'posas sa 'kama
'sino ʔaŋ naɡla'ɡaj naŋ pala'kaʔ sa 'ʔakiŋ 'kama,'sino ʔaŋ naɡla'ɡaj naŋ pala'kaʔ sa 'ʔakiŋ 'kama
nilala'miɡ ʔa'ko,nilala'miɡ ʔa'ko
tala'ɡaŋ ɡus'to ko i'toŋ ma'ŋa ku'ento,tala'ɡaŋ ɡus'to ko i'toŋ ma'ŋa ku'ento
ʔa'ko ʔaj 'paɾaŋ ja'ʔoŋ ma'ŋa malili'ʔit na baŋ'baŋ na naŋaŋa'ninaɡ 'dahil ma'babaw si'la,ʔa'ko ʔaj 'paɾaŋ ja'ʔoŋ ma'ŋa malili'ʔit na baŋ'baŋ na naŋaŋa'ninaɡ 'dahil ma'babaw si'la
hu'aɡ hu'mawak naŋ 'kahit ʔa'no,hu'aɡ hu'mawak naŋ 'kahit ʔa'no
nakati'ɾa ʔaŋ pa'milja sa juɾt,nakati'ɾa ʔaŋ pa'milja sa 'juɾt
wa'laŋ nakakapaɡlu'tas sa pɾo'blemaŋ ʔi'to,wa'laŋ nakakapaɡlu'tas sa pɾo'blemaŋ ʔi'to
'ʔoɾas la'maŋ ʔaŋ maɡsasa'bi,'ʔoɾas 'lamaŋ ʔaŋ maɡsa'sabi
tala'ɡaŋ ˌkakaʔi'ba ʔaŋ kan'jaŋ ʔi'loŋ,tala'ɡaŋ ˌkakaʔi'ba ʔaŋ ka'njaŋ ʔi'loŋ
